,id,latitude,longitude,time
272,1607892045622443625_1950019222,40.41686980235,-3.712866485672,2017-09-20 05:21:30
273,1607892041580110488_194447478,40.4,-3.68333,2017-09-20 05:21:29
274,1607892032603567288_1326718629,40.4,-3.68333,2017-09-20 05:21:28
275,1607892022436306715_629222790,40.4,-3.68333,2017-09-20 05:21:27
276,1607892015458329549_325348481,40.420283964732,-3.7045115232468,2017-09-20 05:21:26
277,1607891959079059768_291037113,40.4238586,-3.7054901,2017-09-20 05:21:19
278,1607891934517307140_195791821,40.4,-3.68333,2017-09-20 05:21:16
279,1607891917269752250_1636746300,40.4,-3.68333,2017-09-20 05:21:14
280,1607891904007839677_5506231042,40.42028,-3.70578,2017-09-20 05:21:13
281,1607891884864439651_3316813,40.417063727933,-3.7035201752774,2017-09-20 05:21:10
282,1607891881340305617_300456743,40.43497,-3.71803,2017-09-20 05:21:10
283,1607891880358880761_1644751168,40.417063727933,-3.7035201752774,2017-09-20 05:21:10
284,1607891865695385506_351963151,40.4,-3.68333,2017-09-20 05:21:08
285,1607891808761967711_3686902151,40.411070579405,-3.6830847771771,2017-09-20 05:21:01
286,1607891800826225699_4640358515,40.45592,-3.69958,2017-09-20 05:21:00
287,1607891720011138962_2260667432,40.398071622853,-3.7042808532715,2017-09-20 05:20:51
289,1607891706538134614_1551150460,40.4388,-3.69285,2017-09-20 05:20:49
290,1607891694837961568_49824540,40.42278,-3.71194,2017-09-20 05:20:48
291,1607891612747080196_176844820,40.4,-3.68333,2017-09-20 05:20:38
292,1607891528802287527_266646944,40.4,-3.68333,2017-09-20 05:20:28
293,1607891430821848078_1326718629,40.4,-3.68333,2017-09-20 05:20:16
294,1607891396697988248_1206147603,40.427529,-3.695719,2017-09-20 05:20:12
295,1607891381203034393_3942091417,40.4,-3.68333,2017-09-20 05:20:10
299,1607926065328670891_5989624459,40.431497635518,-3.7103748321533,2017-09-20 06:29:05
300,1607926059986055710_2306313454,40.4,-3.68333,2017-09-20 06:29:04
301,1607926057176266783_4980798024,40.4,-3.68333,2017-09-20 06:29:04
302,1607926049441946771_2218914268,40.4,-3.68333,2017-09-20 06:29:03
303,1607926022119087364_2093703493,40.3899612,-3.6919999,2017-09-20 06:29:00
304,1607925947753850829_307474613,40.41669,-3.70474,2017-09-20 06:28:51
305,1607925921994284727_960395325,40.429877202308,-3.6708748123077,2017-09-20 06:28:48
306,1607925911305417717_4419615893,40.422677133689,-3.7064266204834,2017-09-20 06:28:47
307,1607925856880205952_4477068,40.42878,-3.66882,2017-09-20 06:28:40
308,1607925845984269388_1641530060,40.41717,-3.67613,2017-09-20 06:28:39
309,1607925817680193411_484358201,40.4,-3.68333,2017-09-20 06:28:36
310,1607925805726652838_1157336959,40.42138,-3.70482,2017-09-20 06:28:34
311,1607925795879510386_3407198873,40.40876,-3.70498,2017-09-20 06:28:33
312,1607925790199466062_2022159739,40.401667,-3.720556,2017-09-20 06:28:32
313,1607925769094290322_257649147,40.4,-3.68333,2017-09-20 06:28:30
314,1607925735372549911_1632652058,40.410963810254,-3.6940159207153,2017-09-20 06:28:26
315,1607925688539475304_196796271,40.42374,-3.69592,2017-09-20 06:28:20
316,1607925677607453494_5794104086,40.374282760457,-3.7424875768579,2017-09-20 06:28:19
317,1607925594384209928_5359663995,40.4,-3.68333,2017-09-20 06:28:09
318,1607925573202879914_24325273,40.41277778,-3.70694444,2017-09-20 06:28:06
319,1607925558448776095_53253716,40.449167,-3.728056,2017-09-20 06:28:05
320,1607925495098174075_3219295096,40.4,-3.68333,2017-09-20 06:27:57
321,1607925486279823692_184041919,40.4,-3.68333,2017-09-20 06:27:56
322,1607925469353435484_266315455,40.42021,-3.71394,2017-09-20 06:27:54
323,1607925418969837958_1453565121,40.38651,-3.74004,2017-09-20 06:27:48
324,1607925327509888363_1854265,40.43498,-3.69239,2017-09-20 06:27:37
325,1607925286203508844_1977709650,40.42237,-3.70962,2017-09-20 06:27:32
326,1607925233766798867_442400290,40.4,-3.68333,2017-09-20 06:27:26
327,1607925228650116076_2902023305,40.392025236306,-3.6976323605438,2017-09-20 06:27:25
328,1607925211922947954_1529656310,40.43525,-3.71368,2017-09-20 06:27:23
329,1607925210638861518_4145284367,40.4,-3.68333,2017-09-20 06:27:23
330,1607925208131670976_2243519573,40.4,-3.68333,2017-09-20 06:27:23
331,1607925202778562489_441773073,40.4140587,-3.70803,2017-09-20 06:27:22
332,1607925184969488070_5988153931,40.4,-3.68333,2017-09-20 06:27:20
333,1607925182897648668_4258269196,40.42815,-3.68242,2017-09-20 06:27:20
334,1607925115981496966_303449717,40.4496899,-3.68898,2017-09-20 06:27:12
335,1607925105605085237_26752471,40.4,-3.68333,2017-09-20 06:27:11
336,1607925085003817514_3415207,40.4,-3.68333,2017-09-20 06:27:08
