,id,time,latitude,longitude
423,1607956076714926349_502500284,2017-09-20 07:28:43,40.415556,-3.714444
424,1607956074986697097_399429382,2017-09-20 07:28:43,40.424052777778,-3.7177777777778
425,1607955993063332507_1958764337,2017-09-20 07:28:33,40.42015,-3.68963
426,1607955914111063863_6060657189,2017-09-20 07:28:23,40.404605902179,-3.7161953798402
428,1607955879499744151_5556669558,2017-09-20 07:28:19,40.4,-3.68333
429,1607955862175938879_285811839,2017-09-20 07:28:17,40.41842,-3.69659
430,1607955846851205320_1322431745,2017-09-20 07:28:15,40.414354,-3.682823
431,1607955842716285424_624303117,2017-09-20 07:28:15,40.4,-3.68333
432,1607955815066769271_4074965229,2017-09-20 07:28:12,40.45445,-3.68353
433,1607955796854654900_5602966340,2017-09-20 07:28:09,40.4,-3.68333
434,1607955777712921536_1121401049,2017-09-20 07:28:07,40.39089,-3.7314
435,1607955719293085104_502500284,2017-09-20 07:28:00,40.411070579405,-3.6830847771771
436,1607955639359698284_210348611,2017-09-20 07:27:51,40.45309,-3.68936
437,1607955611249281963_559513809,2017-09-20 07:27:47,40.4,-3.68333
439,1607955610853549267_506275975,2017-09-20 07:27:47,40.42317,-3.69795
440,1607955590427960946_5806894126,2017-09-20 07:27:45,40.411070579405,-3.6830847771771
441,1607955556236266415_1109437548,2017-09-20 07:27:41,40.422362486163,-3.6988700295589
442,1607955539434631332_3919952927,2017-09-20 07:27:39,40.42594,-3.69576
